WID,title,publication_date,paperAbstract,paperYear
20010,Using Social Media to Measure Labor Market Flows | NBER,2014-03-27T12:00:00Z,"Social media enable promising new approaches to measuring economic activity and analyzing economic behavior at high frequency and in real time using information independent from standard survey and administrative sources.  This paper uses data from Twitter to create indexes of job loss, job search, and job posting.  Signals are derived by counting job-related phrases in Tweets such as ""lost my job.""   The social media indexes are constructed from the principal components of these signals. The University of Michigan Social Media Job Loss Index tracks initial claims for unemployment insurance at medium and high frequencies and predicts 15 to 20 percent of the variance of the prediction error of the consensus forecast for initial claims.  The social media indexes provide real-time indicators of events such as Hurricane Sandy and the 2013 government shutdown.  Comparing the job loss index with the search and posting indexes indicates that the Beveridge Curve has been shifting inward since 2011.  </p>",2014
20011,Predictability and Power in Legislative Bargaining | NBER,2014-03-27T12:00:00Z,"This paper examines the relationship between the concentration of political power in legislative bargaining and the predictability of the process governing the recognition of legislators. Our main result establishes that, for a broad class of legislative bargaining games, if the recognition procedure permits the legislators to rule out some minimum number of proposers one round in advance, then irrespective of how patient the individual legislators are, Markovian equilibria necessarily deliver all economic surplus to the first proposer. We also examine the extent to which alternative bargaining protocols can limit the concentration of power.",2014
20012,Why Stars Matter | NBER,2014-03-27T12:00:00Z,"The growing peer effects literature pays particular attention to the role of stars. We decompose the causal effect of hiring a star in terms of the productivity impact on: 1) co-located incumbents and 2) new recruits. Using longitudinal university department-level data we report that hiring a star does not increase overall incumbent productivity, although this aggregate effect hides offsetting effects on related (positive) versus unrelated (negative) colleagues.  However, the primary impact comes from an increase in the average quality of subsequent recruits. This is most pronounced at mid-ranked institutions, suggesting implications for the socially optimal spatial organization of talent.",2014
20013,"Preferences, Selection, and Value Added: A Structural Approach | NBER",2014-03-27T12:00:00Z,"This paper investigates two main questions: i) What do applicants take into consideration when choosing a high school? ii) To what extent do schools contribute to their students' academic success? To answer these questions, we model students' preferences and derive demand for each school by taking each student's feasible set of schools into account. We obtain average valuation placed on each school from market clearing conditions. Next, we investigate what drives these valuations by carefully controlling for endogeneity using a set of creative instruments suggested by our model. Finally, controlling for mean reversion bias, we look at each school's value-added.</p>",2014
20014,"Intellectual Property Rights, the Pool of Knowledge, and Innovation | NBER",2014-03-27T12:00:00Z,"The pace of innovation is related both to the level of investment in innovation and the pool of knowledge from which innovators can draw.  Both of these are endogenous:  Investments in innovations are affected by the pool of knowledge and the ability of firms to appropriate the returns to their innovative activity, itself affected by the intellectual property rights (IPR) regime.  But as each firm engages in research, it both contributes to the pool, and takes out from it.   The strength and design of IPR  affects the extent to which any innovation adds to or subtracts from the pool of ideas that are available to be commercially exploited, i.e. to the technological opportunities.  We construct the simplest possible general model to explore the resulting dynamics, showing that, under plausible conditions, stronger intellectual property rights may lead to a lower pace of innovation, and more generally, that long run effects may be the opposite of the short run effects.",2014
20015,Holdup by Junior Claimholders: Evidence from the Mortgage Market | NBER,2014-03-27T12:00:00Z,"When borrowers are delinquent, senior debtholders prefer liquidation whereas junior debtholders prefer to maintain their option value by delaying resolution or modifying the loan. In the mortgage market, a conflict of interest (“holdup”) arises when servicers of securitized senior liens are also the owners of the junior liens on the same property. We show that holdup servicers are able to delay action on the first-lien mortgage. When they do act, servicers are more likely to choose resolutions that maintain their option value, favoring modification and soft foreclosures over outright foreclosures. Holdup behavior is more likely to result in borrower self-curing.",2014
20016,"Specialty drug prices and utilization after loss of U.S. patent exclusivity, 2001-2007 | NBER",2014-03-27T12:00:00Z,"We examine the impact of loss of U.S. patent exclusivity (LOE) on the prices and utilization of specialty drugs between 2001 and 2007. We limit our empirical cohort to drugs commonly used to treat cancer and base our analyses on nationally representative data from IMS Health. We begin by describing the average number of manufacturers entering specialty drugs following LOE. We observe the number of manufacturers entering the production of newly generic specialty drugs ranges between two and five per molecule in the years following LOE, which is generally less than that observed historically for non-specialty drugs.  However, the existence of time-varying and unobservable contract manufacturing practices complicates the definition of ""manufacturers"" entering this market. We use pooled time series methods to examine whether the neoclassical relationship between price declines and volume increases upon LOE holds among these drugs. First, we examine the extent to which estimated prices of these drug undergoing LOE fall with generic entry. Second, we estimate reduced form random effects models of utilization subsequent to LOE. We observe substantial price erosion after generic entry; average monthly price declines appear to be larger among physician-administered drugs (38-46.4%) compared to oral drugs (25-26%). Additionally, we find average prices for drugs produced by branded manufacturers rise and prices for drugs produced by generic manufacturers fall upon LOE.  The latter effect is particularly large among oral drugs. In pooled models, volume appears to increase following generic entry, but this result appears to be largely driven by oral drugs. We discuss second-best welfare consequences of these results.",2014
20017,The Nature of Surgeon Human Capital Depreciation | NBER,2014-03-27T12:00:00Z,"To test how practice interruptions affect worker productivity, we estimate how temporal breaks affect surgeons' performance of coronary artery bypass grafting (CABG). Using a sample of 188 surgeons who performed 56,315 CABG procedures in Pennsylvania between 2006 and 2010, we find that a surgeon's additional day away from the operating room raised patients' inpatient mortality risk by up to 0.067 percentage points (2.4% relative effect) but reduced total hospitalization costs by up to 0.59 percentage points.  In analyses of 93 high-volume surgeons treating 9,853 patients admitted via an emergency department, where temporal distance effects are most plausibly exogenous, an additional day away raised mortality risk by 0.398 percentage points (11.4% relative effect) but reduced cost by up to 1.396 percentage points.  These estimates imply a cost per life-year saved ranging from $7,871 to $18,500, rendering additional treatment intensity within surgery cost-effective at conventional cutoffs.  Our findings are consistent with the hypothesis that after returning from temporal breaks surgeons may be less likely to recognize and address life-threatening complications, in turn reducing resource use. This form of human capital loss would explain the decrease in worker productivity and the simultaneous reduction in input use.",2014
20018,The Impact of Emerging Climate Risks on Urban Real Estate Price Dynamics | NBER,2014-03-27T12:00:00Z,"In the typical asset market, an asset featuring uninsurable idiosyncratic risk must offer a higher rate of return to compensate risk-averse investors. A home offers a standard asset's risk and return opportunities, but it also bundles access to its city's amenities|and to its climate risks. As climate change research reveals the true nature of these risks, how does the equilibrium real estate pricing gradient change when households can sort into different cities? When the population is homogeneous, the real estate pricing gradient instantly reflects the ""new news"". With population heterogeneity, an event study research design will underestimate the valuation of climate risk for households in low-risk cities while overestimating the valuation of households in high-risk areas.",2014
20019,How Consumers Respond to Environmental Certification and the Value of Energy Information | NBER,2014-03-31T12:00:00Z,"The ENERGY STAR certification is a voluntary labeling that favors the adoption of energy efficient products. In the US appliance market, the label is a coarse summary of otherwise readily accessible information.  Using micro-data of the US refrigerator market, I develop a structural demand model and find that consumers respond to certification in different ways. Some consumers have a large willingness to pay for the label, well beyond the energy savings associated with certified products; others appear to pay attention to electricity costs, but not to the certification, and still others appear to be insensitive to both electricity costs and ENERGY STAR. The findings suggest that the certification acts as a substitute for more accurate, but complex energy information. Using the structural model, I find that the opportunity cost of having imperfectly informed consumers in the refrigerator market ranges from $12 to $17 per refrigerator sold.",2014
20020,The ACA: Some Unpleasant Welfare Arithmetic | NBER,2014-03-31T12:00:00Z,"Under the Affordable Care Act, between six and eleven million workers would increase their disposable income by cutting their weekly work hours.  About half of them would primarily do so by making themselves eligible for the ACA's federal assistance with health insurance premiums and out-of-pocket health costs, despite the fact that subsidized workers are not able to pay health premiums with pre-tax dollars.  The remainder would do so primarily by relieving their employers from penalties, or the threat of penalties, pursuant to the ACA's employer mandate.  Women, especially those who are not married, are more likely than men to have their short-term financial reward to full-time work eliminated by the ACA.  Additional workers, beyond the six to eleven million, could increase their disposable income by using reduced hours to climb one of the ""cliffs"" that are part of the ACA's mapping from household income to federal assistance.",2014
20021,How Much Favorable Selection Is Left in Medicare Advantage? | NBER,2014-03-31T12:00:00Z,"There are two types of selection models in the health economics literature.  One focuses on choice between a fixed set of contracts.  Consumers with greater demand for medical care services prefer contracts with more generous reimbursement, resulting in a suboptimal proportion of consumers in such contracts in equilibrium.  In extreme cases more generous contracts may disappear (the ""death spiral"").  In the other model insurers tailor the contracts they offer consumers to attract profitable consumers.  An equilibrium may or may not exist in such models, but if it exists it is not first best.  </p>",2014
20022,Behavioral and Descriptive Forms of Choice Models | NBER,2014-03-31T12:00:00Z,"Empirical work on choice models, especially work on relatively new topics or data sets, often starts with descriptive, or what is often colloquially referred to as ""reduced form"", results. Our descriptive form formalizes this process. It is derived from the underlying behavioral model, has an interpretation in terms of fit, and can sometimes be used to quantify biases in agents' expectations. We consider estimators for the descriptive form of discrete choice models with (and without) interacting agents that take account of approximation errors as well as unobservable sources of endogeneity. We conclude with an investigation of the descriptive form of two period entry models.",2014
20023,Book Translations as Idea Flows: The Effects of the Collapse of Communism on the Diffusion of Knowledge | NBER,2014-03-31T12:00:00Z,"We use book translations as a new measure of international idea flows and study the effects of Communism's collapse in Eastern Europe on these flows. Using novel data on 800,000 translations and difference-in-differences approaches, we show that while translations between Communist languages decreased by two thirds with the collapse, Western-to-Communist translations increased by a factor of four and quickly converged to Western levels. Convergence was more pronounced in the fields of applied and social sciences, and was more complete in Satellite and Baltic than in Soviet countries. We discuss how these patterns help us understand how repressive institutions and preferences towards Western European ideas shaped the international diffusion of knowledge.",2014
20024,Savings in Transnational Households: A Field Experiment among Migrants from El Salvador | NBER,2014-03-31T12:00:00Z,"We implemented a randomized field experiment that tested ways to stimulate savings by international migrants in their origin country. We find that migrants value and take advantage of opportunities to exert greater control over financial activities in their home countries. In partnership with a Salvadoran bank, we offered U.S.-based migrants bank accounts in El Salvador. We randomly varied migrant control over El Salvador-based savings by offering different types of accounts across treatment groups. Migrants offered the greatest degree of control accumulated the most savings at the partner bank, compared to others offered less or no control over savings. Impacts are likely to represent increases in total savings: there is no evidence that savings increases were simply reallocated from other savings mechanisms. Enhanced control over home-country savings does not affect remittances sent home by migrants.",2014
20025,Input Diffusion and the Evolution of Production Networks | NBER,2014-03-31T12:00:00Z,"The adoption and diffusion of inputs in the production network is at the heart of technological progress. What determines which inputs are initially considered and eventually adopted by innovators? We examine the evolution of input linkages from a network perspective, starting from a stylized model of network formation. Producers direct their search for new inputs along vertical linkages, screening the network neighborhood of existing suppliers to identify potentially useful inputs. A subset of these is then adopted, following a tradeoff between the benefits from input variety and the costs of customizing new inputs. Guided by this framework, we document a novel stylized fact at both the sector and the firm level: producers are more likely to adopt inputs that are already used – directly or indirectly – by their current suppliers. In particular, using disaggregated input-output data, we show that initial network proximity of a sector in 1967 significantly increases the likelihood of adoption throughout the subsequent four decades. A one-standard deviation decrease in network distance is associated with an increase in the adoption probability by one third to one half. Similarly, U.S. firms are significantly more likely to develop new input linkages among their suppliers’ network neighborhood. Our results imply that the existing production network plays a crucial role in the diffusion of inputs and the evolution of technology.",2014
20026,"Which Peers Matter? The Relative Impacts of Collaborators, Colleagues, and Competitors | NBER",2014-03-31T12:00:00Z,"Many economists believe knowledge production generates positive spillovers among knowledge producers. The available evidence, however, is mixed. We argue that spillovers can exist along three dimensions (idea, geographic, and collaboration space). To isolate the key channel through which knowledge spills over, we use a unique data set to examine the impact of a large post-1992 exodus of Soviet mathematicians on the output of the non-émigrés. Although the data reveal strong competitive effects in idea space, there is evidence of knowledge spillovers in collaboration space, when high-quality researchers directly engage with other researchers in the joint production of new knowledge.",2014
20027,The Flight from Maturity | NBER,2014-04-10T12:00:00Z,"Why did the failure of Lehman Brothers make the financial crisis dramatically worse?  The financial crisis was a process of a build-up of risk during the crisis prior to the Lehman failure. Market participants tried to preserve an option or exit by shortening maturities - the ""flight from maturity"".  With increasingly short maturities, lenders created the possibility of fast exit. The failure of Lehman Brothers was the tipping point of this build-up of systemic fragility.  We produce a chronology of the crisis which formalizes the dynamics of the crisis. A crisis is a dynamic process in which ""tail risk"" is endogenous.",2014
20028,Understanding Corporate Governance Through Learning Models of Managerial Competence | NBER,2014-04-10T12:00:00Z,"A manager's shareholders, board of directors, and potential future employers are continually assessing his ability.  A rich literature has documented that this insight has profound implications for corporate governance because assessment generates incentives (good and bad), introduces assorted risks, and affects the various battles that rage among the relevant actors for corporate control.  Consequently, assessment (or learning) is a key perspective from which to study, evaluate, and possibly even regulate corporate governance.  Moreover, because learning is a behavior notoriously subject to systematic biases, this perspective is a natural avenue through which to introduce behavioral and psychological insights into the study of corporate governance.",2014
20029,"Colonial Institutions, Commodity Booms, and the Diffusion of Elementary Education in Brazil, 1889-1930 | NBER",2014-04-10T12:00:00Z,"We explain how the decentralization of fiscal responsibility among Brazilian states between 1889 and 1930 promoted a unequal expansion in public schooling.  We document how the variation in state export tax revenues, product of commodity booms, explains increases in expenditures on education, literacy, and schools per children.  Yet we also find that such improvements did not take place in states that either had more slaves before abolition or cultivated cotton during colonial times. Beyond path-dependence, ours story emphasizes the interaction between colonial institutions and subsequent fiscal changes to explain radical changes in the ranking of states which persists until today.",2014
20030,"Retirement, Early Retirement and Disability: Explaining Labor Force Participation after 55 in France | NBER",2014-04-10T12:00:00Z,"We analyze the influence of health and financial incentives on the retirement behavior of older workers in France, building upon Stock and Wise (1990) option value approach. The model accounts for three main retirement routes: the normal retirement, disability insurance (DI) and unemployment/preretirement pathways, and is estimated with a combination of microeconomic datasets that include the French data of the European SHARE survey.</p>",2014
20031,An Empirical Model of Wage Dispersion with Sorting | NBER,2014-04-10T12:00:00Z,"This paper studies wage dispersion in an equilibrium on-the-job-search model with endogenous search intensity. Workers differ in their permanent skill level and firms differ with respect to productivity. Positive (negative) sorting results if the match production function is supermodular (submodular). The model is estimated on Danish matched employer-employee data. We find evidence of positive assortative matching. In the estimated equilibrium match distribution, the correlation between worker skill and firm productivity is 0.12. The assortative matching has a substantial impact on wage dispersion. We decompose wage variation into four sources: Worker heterogeneity, firm heterogeneity, frictions, and sorting. Worker heterogeneity contributes 51% of the variation, firm heterogeneity contributes 11%, frictions 23%, and finally sorting contributes 15%. We measure the output loss due to mismatch by asking how much greater output would be if the estimated population of matches were perfectly positively assorted. In this case, output would increase by 7.7%.",2014
20032,Did Railroads Make Antebellum U.S. Banks More Sound? | NBER,2014-04-10T12:00:00Z,"We investigate the relationships of bank failures and balance sheet conditions with measures of proximity to different forms of transportation in the United States over the period from 1830-1860. A series of hazard models and bank-level regressions indicate a systematic relationship between proximity to railroads (but not to other means of transportation) and ""good"" banking outcomes. Although railroads improved economic conditions along their routes, we offer evidence of another channel.  Specifically, railroads facilitated better information flows about banks that led to modifications in bank asset composition consistent with reductions in the incidence of moral hazard.",2014
20033,The Euro and The Geography of International Debt Flows | NBER,2014-04-10T12:00:00Z,"Greater financial integration between core and peripheral EMU members not only had an effect on both sets of countries but also spilled over beyond the euro area. Lower interest rates allowed peripheral countries to run bigger deficits, which inflated their economies by allowing credit booms. Core EMU countries took on extra foreign leverage to expose themselves to the peripherals. We present a stylized model that illustrates possible mechanisms for these developments. We then analyze the geography of international debt flows using multiple data sources and provide evidence that after the euro's introduction, core EMU countries increased their borrowing from outside of EMU and their lending to the EMU periphery. Moreover, we present evidence that large core EMU banks' lending to periphery borrowers was linked to their borrowing from outside of the euro area.",2014
20034,Structuring Incentives Within Organizations: The Case of Accountable Care Organizations | NBER,2014-04-10T12:00:00Z,"Accountable Care Organizations (ACOs) are new organizations created by the Affordable Care Act to encourage more efficient, integrated care delivery.  To promote efficiency, ACOs sign contracts under which they keep a fraction of the savings from keeping costs below target provided they also maintain quality levels.  To promote integration and facilitate measurement, ACOs are required to have at least 5,000 enrollees and so must coordinate across many providers.   We calibrate a model of optimal ACO incentives using proprietary performance measures from a large insurer.  Our key finding is that free-riding is a severe problem and causes optimal incentive payments to exceed cost savings unless ACOs simultaneously achieve extremely large efficiency gains.  This implies that successful ACOs will likely rely on motivational strategies that amplify the effects of under-powered incentives.   These motivational strategies raise important questions about the limits of ACOs as a policy for promoting more efficient, integrated care.",2014
20035,"Health Status, Disability and Retirement Incentives in Belgium | NBER",2014-04-10T12:00:00Z,"Many Belgian retire well before the statutory retirement age. Numerous exit routes from the labor force can be identified: old-age pensions, conventional early retirement, disability insurance, and unemployment insurance are the most prominent ones. We analyze the retirement decision of Belgian workers adopting an option value framework, and pay special attention to the role of health status. We estimate probit models of retirement using data from SHARE. The results show that health and incentives matter in the decision to exit from the labor market. Based on these results, we simulate the effect of potential reforms on retirement.",2014
20036,Information Technology and the Distribution of Inventive Activity | NBER,2014-04-10T12:00:00Z,"We examine the relationship between the diffusion of advanced internet technology and the geographic concentration of invention, as measured by patents. First, we show that patenting became more concentrated from the early 1990s to the early 2000s and, similarly, that counties that were leaders in patenting in the early 1990s produced relatively more patents by the early 2000s. Second, we compare the extent of invention in counties that were leaders in internet adoption to those that were not. We see little difference in the growth rate of patenting between leaders and laggards in internet adoption, on average. However, we find that the rate of patent growth was faster among counties who were not leaders in patenting in the early 1990s but were leaders in internet adoption by 2000, suggesting that the internet helped stem the trend towards more geographic concentration. We show that these results are largely driven by patents filed by distant collaborators rather than non-collaborative patents or patents by non-distant collaborators, suggesting low cost long-distance digital communication as a potential mechanism.",2014
20037,The (Changing) Knowledge Production Function: Evidence from the MIT Department of Biology for 1970-2000 | NBER,2014-04-10T12:00:00Z,"Considerable attention has been focused, in recent years, on the role that graduate and postdoc students play in the production of academic knowledge. Using data from the MIT Department of Biology for the period 1970-2000, we analyze the evolution over time of four fundamental aspects of their productivity:  i) training duration; ii) time to a first publication; iii) productivity over the training period; and iv) collaboration with other scientists. We identified four main trends that are common to graduate students and postdocs. First, training periods have increased for later cohorts of graduate and postdoc students. Second, later cohorts tend to publish their initial first-author article later than the earlier cohorts. Third, they produce fewer first-author publications.  Finally, collaborations with other scientists, as measured by the number of coauthors on a paper, have increased. This increase is driven by collaborations with scientists external to a trainee's laboratory. We interpret these results in light of the following two paradigms: the increased burden of knowledge that later generations of scientists face and the limited availability of permanent academic positions.",2014
20038,"Uncertainty, Financial Frictions, and Investment Dynamics | NBER",2014-04-10T12:00:00Z,"Micro- and macro-level evidence indicates that fluctuations in idiosyncratic uncertainty have a large effect on investment; the impact of uncertainty on investment occurs primarily through changes in credit spreads; and innovations in credit spreads have a strong effect on investment, irrespective of the level of uncertainty. These findings raise a question regarding the economic significance of the traditional ""wait-and-see"" effect of uncertainty shocks and point to financial distortions as the main mechanism through which fluctuations in uncertainty affect macroeconomic outcomes. The relative importance of these two mechanisms is analyzed within a quantitative general equilibrium model, featuring heterogeneous firms that face time-varying idiosyncratic uncertainty, irreversibility, nonconvex capital adjustment costs, and financial frictions. The model successfully replicates the stylized facts concerning the macroeconomic implications of uncertainty and financial shocks. By influencing the effective supply of credit, both types of shocks exert a powerful effect on investment and generate countercyclical credit spreads and procyclical leverage, dynamics consistent with the data and counter to those implied by the technology-driven real business cycle models.",2014
20039,Algorithms and the Changing Frontier | NBER,2014-04-10T12:00:00Z,"We first summarize the dominant interpretations of the ""frontier"" in the United States and predecessor colonies over the past 400 years: agricultural (1610s-1880s), industrial (1890s-1930s), scientific (1940s- 1980s), and algorithmic (1990s-present). We describe the difference between the algorithmic frontier and the scientific frontier. We then propose that the recent phenomenon referred to as ""globalization"" is actually better understood as the progression of the algorithmic frontier, as enabled by standards that in turn have facilitated the interoperability of firm-level production algorithms. We conclude by describing implications of the advance of the algorithmic frontier for scientific discovery and technological innovation.",2014
20040,Understanding the Great Recession | NBER,2014-04-10T12:00:00Z,"We argue that the vast bulk of movements in aggregate real economic activity during the Great Recession were due to financial frictions interacting with the zero lower bound. We reach this conclusion looking through the lens of a New Keynesian model in which firms face moderate degrees of price rigidities and no nominal rigidities in the wage setting process. Our model does a good job of accounting for the joint behavior of labor and goods markets, as well as inflation, during the Great Recession. According to the model the observed fall in total factor productivity and the rise in the cost of working capital played critical roles in accounting for the small size of the drop in inflation that occurred during the Great Recession.",2014
20041,Credit Risk in the Euro Area | NBER,2014-04-10T12:00:00Z,"We construct credit risk indicators for euro area banks and non-financial corporations. These are the average spreads on the yield of euro area private sector bonds relative to the yield on German federal government securities of matched maturities. The indicators are also constructed at the country level for Germany, France, Italy and Spain. These indicators reveal that the financial crisis of 2008 has dramatically increased the cost of market funding for both banks and non-financial firms. In contrast, the prior recession following the 2000 U.S. dot-com bust led to widening credit spreads of non-financial firms but had no effect on the credit spreads of financial firms. The 2008 financial crisis also led to a systematic divergence in credit spreads for financial firms across national boundaries. This divergence in cross-country credit risk increased further as the European debt crisis has unfolded since 2010. Since that time, credit spreads for both non-financial and financial firms increasingly reflect national rather than euro area financial conditions. Consistent with this view, credit spreads provide substantial predictive content for a variety of real activity and lending measures for the euro area as a whole and for individual countries.  VAR analysis implies that disruptions in corporate credit markets lead to sizable contractions in output, increases in unemployment, and declines in inflation across the euro area.",2014
